timestamp,roll,pitch,yaw
1508969145578488,-0.429198,-0.937105,0.0471225
1508969145594139,-0.460356,-0.936672,0.0495656
1508969145617681,-0.498388,-0.924851,0.0567
1508969145638955,-0.524451,-0.904385,0.0648653
1508969145654022,-0.54308,-0.87624,0.0810371
1508969145677101,-0.546176,-0.847083,0.0970949
1508969145699133,-0.542235,-0.815396,0.114336
1508969145744238,-0.544457,-0.779062,0.133965
1508969145754267,-0.558439,-0.736572,0.156393
1508969145760283,-0.572241,-0.688098,0.174673
1508969145783341,-0.58287,-0.634893,0.185672
1508969145800419,-0.598694,-0.577198,0.207703
1508969145828460,-0.620788,-0.515981,0.243671
1508969145866654,-0.637125,-0.452944,0.277123
1508969145866654,-0.648702,-0.382396,0.302064
1508969145879749,-0.651013,-0.309078,0.321369
1508969145902862,-0.647493,-0.23044,0.332962
1508969145917051,-0.64098,-0.146347,0.3382
1508969145941114,-0.634681,-0.0603302,0.341525
1508969145962216,-0.628039,0.0238117,0.342663
1508969145978182,-0.617403,0.10681,0.342485
1508969146000326,-0.600024,0.185703,0.339053
1508969146021533,-0.584874,0.257263,0.332708
1508969146038462,-0.576454,0.319501,0.325376
1508969146060671,-0.571212,0.376487,0.32235
1508969146081866,-0.556168,0.43496,0.320527
1508969146097844,-0.532792,0.495462,0.318332
1508969146126973,-0.509529,0.548694,0.321475
1508969146142208,-0.487286,0.59503,0.327836
1508969146158157,-0.467192,0.634393,0.334161
1508969146180476,-0.440142,0.665538,0.342798
1508969146201562,-0.415801,0.679431,0.355521
1508969146218554,-0.395455,0.679392,0.375232
1508969146240613,-0.370777,0.678024,0.396771
1508969146261834,-0.34472,0.675396,0.416119
1508969146278712,-0.32195,0.6575,0.43457
1508969146300905,-0.317806,0.61592,0.445442
1508969146321980,-0.31653,0.571605,0.451042
1508969146337985,-0.316569,0.532073,0.445004
1508969146361042,-0.312039,0.489929,0.438617
1508969146382242,-0.312331,0.449827,0.434673
1508969146398151,-0.311181,0.422599,0.433799
1508969146420346,-0.309754,0.409964,0.434026
1508969146442258,-0.318901,0.403586,0.431744
1508969146458300,-0.330535,0.402857,0.428422
1508969146480360,-0.33581,0.411092,0.425953
1508969146501449,-0.336745,0.423148,0.42534
1508969146517458,-0.338318,0.431558,0.424931
1508969146540627,-0.340764,0.439427,0.425172
1508969146561817,-0.337202,0.450484,0.427396
1508969146577755,-0.331879,0.461157,0.430558
1508969146607930,-0.328248,0.469478,0.432717
1508969146622189,-0.327213,0.47624,0.43359
1508969146638084,-0.326758,0.483866,0.434139
1508969146661138,-0.327456,0.491445,0.433666
1508969146683158,-0.330255,0.496662,0.431694
1508969146697226,-0.333587,0.499586,0.429858
1508969146720294,-0.337701,0.500766,0.425763
1508969146743318,-0.344432,0.50186,0.419517
1508969146757356,-0.353742,0.502419,0.411052
1508969146780417,-0.363411,0.500824,0.4032
1508969146803502,-0.373879,0.494698,0.396449
1508969146824580,-0.38503,0.483188,0.388867
1508969146855620,-0.400204,0.466244,0.376511
1508969146869743,-0.418383,0.442386,0.361072
1508969146885699,-0.443585,0.412585,0.343865
1508969146910765,-0.471017,0.373748,0.327502
1508969146930867,-0.501403,0.326521,0.306175
1508969146952902,-0.535967,0.27243,0.278104
1508969146959020,-0.560305,0.219496,0.251998
1508969146982115,-0.574201,0.158225,0.235445
1508969147005060,-0.579716,0.0863147,0.224517
1508969147019096,-0.595925,0.0172246,0.212101
1508969147042147,-0.612649,-0.0481464,0.198227
1508969147064211,-0.625281,-0.11526,0.187113
1508969147079253,-0.631243,-0.187933,0.178529
1508969147101272,-0.623582,-0.267468,0.171381
1508969147124332,-0.60001,-0.343585,0.163718
1508969147139406,-0.576626,-0.412202,0.154104
1508969147161469,-0.557992,-0.477573,0.144861
1508969147184521,-0.544248,-0.541146,0.138232
1508969147199579,-0.533911,-0.598893,0.12927
1508969147221629,-0.514571,-0.650947,0.120454
1508969147244674,-0.483189,-0.704011,0.107023
1508969147259714,-0.451272,-0.753308,0.0830119
1508969147281780,-0.425996,-0.798606,0.0681686
1508969147303808,-0.403215,-0.844613,0.0527707
1508969147318876,-0.383701,-0.883527,0.0301885
1508969147341937,-0.362096,-0.918468,-0.00268732
1508969147363996,-0.364903,-0.949982,-0.016701
1508969147379008,-0.344897,-0.982245,-0.0455822
1508969147402097,-0.338326,-0.983494,-0.0480413
1508969147424128,-0.33286,-0.982642,-0.0312308
1508969147440170,-0.333184,-0.973447,0.00221449
1508969147461226,-0.307866,-0.978812,0.0179232
1508969147484296,-0.292939,-0.977606,0.0351728
1508969147500331,-0.26279,-0.990649,0.0322208
1508969147521390,-0.25597,-0.981201,0.0335037
1508969147544454,-0.251326,-0.987763,0.0210085
1508969147560493,-0.276422,-0.97717,0.0212926
