timestamp,x,y,z,w
1508970376420830,0.473938,-0.238586,0.829224,0.175293
1508970376435863,0.471558,-0.245789,0.827637,0.179382
1508970376458386,0.463745,-0.257019,0.827881,0.182739
1508970376480985,0.452759,-0.267578,0.830627,0.182617
1508970376495694,0.440369,-0.27594,0.835388,0.178894
1508970376518912,0.427246,-0.282593,0.841064,0.173584
1508970376540958,0.411865,-0.289307,0.847595,0.167847
1508970376564025,0.392883,-0.296814,0.855164,0.161743
1508970376594104,0.371948,-0.304382,0.863159,0.154419
1508970376603211,0.349121,-0.31073,0.871948,0.14563
1508970376617162,0.325073,-0.31543,0.880981,0.136536
1508970376639349,0.299377,-0.320435,0.889709,0.126648
1508970376661425,0.271912,-0.324158,0.898804,0.114624
1508970376679619,0.244568,-0.325867,0.907654,0.100403
1508970376730936,0.218689,-0.328064,0.914978,0.0852661
1508970376730936,0.19342,-0.331482,0.920837,0.0684814
1508970376737929,0.167236,-0.335083,0.925781,0.0517578
1508970376759134,0.140442,-0.340027,0.929138,0.036499
1508970376781320,0.112427,-0.34491,0.93158,0.0232544
1508970376805419,0.0819092,-0.349182,0.933411,0.0102539
1508970376819457,0.0505981,-0.351379,0.934814,-0.00427246
1508970376842722,0.0175171,-0.348572,0.936951,-0.0176392
1508970376864748,-0.0177002,-0.342041,0.939026,-0.0294189
1508970376885807,-0.0521851,-0.334839,0.939941,-0.0407104
1508970376902849,-0.0860596,-0.32666,0.939697,-0.0530396
1508970376925070,-0.118469,-0.31781,0.938416,-0.0654297
1508970376946156,-0.147949,-0.308716,0.936462,-0.0762329
1508970376970186,-0.174805,-0.299011,0.934204,-0.0853882
1508970376985229,-0.198547,-0.288086,0.931946,-0.0949707
1508970377006432,-0.219666,-0.278931,0.928894,-0.105347
1508970377022325,-0.239746,-0.270325,0.925171,-0.116211
1508970377052407,-0.257935,-0.261963,0.921387,-0.125854
1508970377065813,-0.274353,-0.253235,0.91803,-0.133362
1508970377082719,-0.288269,-0.245178,0.914917,-0.140381
1508970377104815,-0.298462,-0.238586,0.91217,-0.147888
1508970377125974,-0.30481,-0.233215,0.910339,-0.154968
1508970377142879,-0.308289,-0.229065,0.909058,-0.161438
1508970377164942,-0.310364,-0.224731,0.908325,-0.167419
1508970377194039,-0.311035,-0.220886,0.908081,-0.172913
1508970377202069,-0.309265,-0.219421,0.908203,-0.176941
1508970377225123,-0.306274,-0.218933,0.908752,-0.180054
1508970377246192,-0.303223,-0.218262,0.909424,-0.182861
1508970377262210,-0.299744,-0.218018,0.910217,-0.184692
1508970377285257,-0.296387,-0.21875,0.911072,-0.184937
1508970377306353,-0.293152,-0.220215,0.911804,-0.184875
1508970377322356,-0.290649,-0.221924,0.912231,-0.184692
1508970377344667,-0.289307,-0.223267,0.912415,-0.184204
1508970377366657,-0.288574,-0.224609,0.912476,-0.18335
1508970377382700,-0.288574,-0.226013,0.912415,-0.182129
1508970377404730,-0.289185,-0.227295,0.912109,-0.180847
1508970377425815,-0.289795,-0.228516,0.911926,-0.179504
1508970377442828,-0.290466,-0.229126,0.911743,-0.178406
1508970377464884,-0.290527,-0.229431,0.911865,-0.177307
1508970377503101,-0.289734,-0.22998,0.91217,-0.176208
1508970377504995,-0.289307,-0.230225,0.912415,-0.175415
1508970377525066,-0.288513,-0.230347,0.91272,-0.174866
1508970377547127,-0.287842,-0.230286,0.913025,-0.174622
