timestamp,roll,pitch,yaw
1508967288084859,-0.302329,-1.24642,-1.38498
1508967288107338,-0.2995,-1.24712,-1.38314
1508967288129368,-0.292335,-1.24844,-1.3851
1508967288145491,-0.284664,-1.24909,-1.38718
1508967288168556,-0.276974,-1.24992,-1.39042
1508967288183598,-0.267618,-1.24887,-1.39419
1508967288204683,-0.253714,-1.24679,-1.40237
1508967288252923,-0.236785,-1.24165,-1.41734
1508967288254924,-0.232439,-1.23332,-1.42437
1508967288266960,-0.239859,-1.22381,-1.41895
1508967288288013,-0.260263,-1.21218,-1.39987
1508967288312185,-0.290701,-1.19696,-1.37045
1508967288328469,-0.332602,-1.17835,-1.32731
1508967288376603,-0.379674,-1.15526,-1.27046
1508967288387597,-0.427625,-1.12759,-1.20758
1508967288393650,-0.47382,-1.09314,-1.14758
1508967288407996,-0.516544,-1.05408,-1.092
1508967288429924,-0.558892,-1.01027,-1.03996
1508967288444947,-0.602686,-0.960444,-0.989126
1508967288467074,-0.642423,-0.905098,-0.939928
1508967288489149,-0.674302,-0.846007,-0.894603
1508967288505164,-0.695444,-0.785987,-0.856328
1508967288527312,-0.709455,-0.723767,-0.820618
1508967288549547,-0.723345,-0.657279,-0.784417
1508967288564610,-0.740334,-0.588316,-0.748568
1508967288586894,-0.755948,-0.515535,-0.717201
1508967288609965,-0.770104,-0.438506,-0.694291
1508967288625008,-0.777845,-0.360756,-0.67278
1508967288647058,-0.781779,-0.281607,-0.651539
1508967288670015,-0.786611,-0.202013,-0.63546
1508967288684036,-0.789939,-0.122078,-0.623798
1508967288707102,-0.786396,-0.0419954,-0.613701
1508967288729129,-0.783612,0.0362993,-0.606389
1508967288744198,-0.784574,0.111822,-0.598127
1508967288767255,-0.788776,0.186748,-0.593289
1508967288789318,-0.795387,0.259766,-0.590219
1508967288804330,-0.795479,0.330686,-0.5916
1508967288827391,-0.795419,0.398901,-0.594727
1508967288849451,-0.796065,0.465417,-0.598085
1508967288864489,-0.797216,0.525395,-0.602156
1508967288886549,-0.797445,0.581621,-0.601785
1508967288909632,-0.802148,0.631111,-0.602111
1508967288924651,-0.805861,0.670356,-0.600249
1508967288946738,-0.810147,0.702113,-0.597273
1508967288969807,-0.818311,0.726844,-0.59599
1508967288984834,-0.822214,0.747255,-0.593593
1508967289006916,-0.828485,0.763244,-0.591311
1508967289030025,-0.831442,0.772903,-0.589285
1508967289045171,-0.834833,0.77801,-0.587174
1508967289067241,-0.837255,0.778994,-0.585987
1508967289089216,-0.841366,0.776523,-0.586186
1508967289104256,-0.845195,0.771791,-0.586454
1508967289127424,-0.848083,0.765619,-0.587578
1508967289149385,-0.850792,0.759478,-0.589177
1508967289172404,-0.852737,0.753743,-0.590317
1508967289187568,-0.854488,0.748365,-0.590729
1508967289209655,-0.853376,0.743329,-0.588841
1508967289231644,-0.855737,0.737505,-0.588585
1508967289247714,-0.85632,0.733685,-0.58837
1508967289269886,-0.856308,0.73125,-0.587429
1508967289284930,-0.855349,0.728817,-0.5851
1508967289306984,-0.85402,0.726915,-0.582986
1508967289330051,-0.854962,0.725246,-0.58296
1508967289345060,-0.855558,0.724272,-0.582737
1508967289375040,-0.856033,0.72211,-0.582498
1508967289389055,-0.855168,0.72059,-0.58096
1508967289412115,-0.85621,0.719106,-0.581535
1508967289427154,-0.857978,0.718843,-0.583079
1508967289449244,-0.859465,0.71873,-0.584473
1508967289472547,-0.859223,0.717787,-0.584554
1508967289487542,-0.86018,0.716011,-0.584642
1508967289509751,-0.862316,0.714338,-0.585899
